"price","dateoftransfer","yearchi","tfarea","laua","ldnm","region"
247500,2009-06-08,2009,71.8,"E07000208","Epsom and Ewell","South East"
450000,2009-12-07,2009,95.393,"E07000208","Epsom and Ewell","South East"
250000,2009-03-31,2009,72.72,"E07000208","Epsom and Ewell","South East"
337500,2009-08-17,2009,103.45,"E07000208","Epsom and Ewell","South East"
220000,2009-12-11,2009,63.2,"E07000208","Epsom and Ewell","South East"
295000,2009-10-12,2009,79.25,"E07000208","Epsom and Ewell","South East"
350000,2009-07-23,2009,96.76,"E07000208","Epsom and Ewell","South East"
215000,2009-05-01,2009,79.25,"E07000208","Epsom and Ewell","South East"
202500,2009-03-11,2009,63,"E07000208","Epsom and Ewell","South East"
137500,2009-07-31,2009,47,"E07000208","Epsom and Ewell","South East"
415000,2009-08-28,2009,116.97,"E07000208","Epsom and Ewell","South East"
197500,2009-08-28,2009,73.62,"E07000208","Epsom and Ewell","South East"
202500,2009-12-14,2009,62.76,"E07000208","Epsom and Ewell","South East"
205000,2009-09-17,2009,61.62,"E07000208","Epsom and Ewell","South East"
485000,2009-02-27,2009,170.64,"E07000208","Epsom and Ewell","South East"
249950,2009-10-01,2009,85.05,"E07000208","Epsom and Ewell","South East"
140000,2009-08-21,2009,39.85,"E07000208","Epsom and Ewell","South East"
158000,2009-09-01,2009,61.34,"E07000208","Epsom and Ewell","South East"
375000,2009-12-16,2009,93.74,"E07000208","Epsom and Ewell","South East"
390000,2009-12-18,2009,153.77,"E07000208","Epsom and Ewell","South East"
155000,2009-08-27,2009,43.68,"E07000208","Epsom and Ewell","South East"
130000,2009-07-24,2009,51.595,"E07000208","Epsom and Ewell","South East"
190000,2009-07-28,2009,69.02,"E07000208","Epsom and Ewell","South East"
227000,2009-05-11,2009,104,"E07000208","Epsom and Ewell","South East"
340000,2009-07-07,2009,95.33,"E07000208","Epsom and Ewell","South East"
325000,2009-07-21,2009,108.57,"E07000208","Epsom and Ewell","South East"
440000,2009-06-23,2009,151.03,"E07000208","Epsom and Ewell","South East"
315000,2009-07-28,2009,85.15,"E07000208","Epsom and Ewell","South East"
612000,2009-09-11,2009,209.3,"E07000208","Epsom and Ewell","South East"
151000,2009-10-30,2009,52.6,"E07000208","Epsom and Ewell","South East"
246500,2009-11-30,2009,61.238,"E07000208","Epsom and Ewell","South East"
490000,2009-09-18,2009,132.05,"E07000208","Epsom and Ewell","South East"
157500,2009-12-21,2009,42.95,"E07000208","Epsom and Ewell","South East"
3e+05,2009-11-20,2009,86.73,"E07000208","Epsom and Ewell","South East"
96500,2009-11-20,2009,33.3,"E07000208","Epsom and Ewell","South East"
325000,2009-11-27,2009,96.48,"E07000208","Epsom and Ewell","South East"
355000,2009-08-24,2009,111.509,"E07000208","Epsom and Ewell","South East"
250000,2009-12-15,2009,70.85,"E07000208","Epsom and Ewell","South East"
327000,2009-05-08,2009,95.01,"E07000208","Epsom and Ewell","South East"
273000,2009-11-20,2009,109.262,"E07000208","Epsom and Ewell","South East"
3e+05,2009-03-27,2009,102.5,"E07000208","Epsom and Ewell","South East"
